period_begin,period_end,period_duration,state,state_code,search_word
2022-01-02,2022-01-08,7,Alabama,AL,Eli
2022-01-09,2022-01-15,7,Alabama,AL,Jackson
2022-01-16,2022-01-22,7,Alabama,AL,Miles
2022-01-23,2022-01-29,7,Alabama,AL,Derrick
2022-01-30,2022-02-05,7,Alabama,AL,William
2022-02-06,2022-02-12,7,Alabama,AL,Nolan
2022-02-13,2022-02-19,7,Alabama,AL,Hudson
2022-02-20,2022-02-26,7,Alabama,AL,Miles
2022-02-27,2022-03-05,7,Alabama,AL,Eli
2022-03-06,2022-03-12,7,Alabama,AL,Jayden
2022-03-13,2022-03-19,7,Alabama,AL,Nolan
2022-03-20,2022-03-26,7,Alabama,AL,Jackson
2022-03-27,2022-04-02,7,Alabama,AL,Jackson
2022-04-03,2022-04-09,7,Alabama,AL,Nicholas
2022-04-10,2022-04-16,7,Alabama,AL,Julian
2022-04-17,2022-04-23,7,Alabama,AL,Jackson
2022-04-24,2022-04-30,7,Alabama,AL,Andrew
2022-05-01,2022-05-07,7,Alabama,AL,Eli
2022-05-08,2022-05-14,7,Alabama,AL,Nicholas
2022-05-15,2022-05-21,7,Alabama,AL,Julian
2022-05-22,2022-05-28,7,Alabama,AL,Adam
2022-05-29,2022-06-04,7,Alabama,AL,Jackson
2022-06-05,2022-06-11,7,Alabama,AL,Andrew
2022-06-12,2022-06-18,7,Alabama,AL,Ryan
2022-06-19,2022-06-25,7,Alabama,AL,Jackson
2022-06-26,2022-07-02,7,Alabama,AL,Eli
2022-07-03,2022-07-09,7,Alabama,AL,Hudson
2022-07-10,2022-07-16,7,Alabama,AL,Nolan
2022-07-17,2022-07-23,7,Alabama,AL,Isaiah
2022-07-24,2022-07-30,7,Alabama,AL,Andrew
2022-07-31,2022-08-06,7,Alabama,AL,Eli
2022-08-07,2022-08-13,7,Alabama,AL,Theodore
2022-08-14,2022-08-20,7,Alabama,AL,Derrick
2022-08-21,2022-08-27,7,Alabama,AL,Jayden
2022-08-28,2022-09-03,7,Alabama,AL,Eli
2022-09-04,2022-09-10,7,Alabama,AL,Eli
2022-09-11,2022-09-17,7,Alabama,AL,Jackson
2022-09-18,2022-09-24,7,Alabama,AL,Jackson
2022-09-25,2022-10-01,7,Alabama,AL,Hudson
2022-10-02,2022-10-08,7,Alabama,AL,Christian
2022-10-09,2022-10-15,7,Alabama,AL,Andrew
2022-10-16,2022-10-22,7,Alabama,AL,Nicholas
2022-10-23,2022-10-29,7,Alabama,AL,Hudson
2022-10-30,2022-11-05,7,Alabama,AL,Jackson
2022-11-06,2022-11-12,7,Alabama,AL,Andrew
2022-11-13,2022-11-19,7,Alabama,AL,Jayden
2022-11-20,2022-11-26,7,Alabama,AL,William
2022-11-27,2022-12-03,7,Alabama,AL,William
2022-01-02,2022-01-08,7,Alaska,AK,Eli
2022-01-09,2022-01-15,7,Alaska,AK,Jackson
2022-01-16,2022-01-22,7,Alaska,AK,Miles
2022-01-23,2022-01-29,7,Alaska,AK,Derrick
2022-01-30,2022-02-05,7,Alaska,AK,William
2022-02-06,2022-02-12,7,Alaska,AK,Nolan
2022-02-13,2022-02-19,7,Alaska,AK,Hudson
2022-02-20,2022-02-26,7,Alaska,AK,Miles
2022-02-27,2022-03-05,7,Alaska,AK,Eli
2022-03-06,2022-03-12,7,Alaska,AK,Jayden
2022-03-13,2022-03-19,7,Alaska,AK,Nolan
2022-03-20,2022-03-26,7,Alaska,AK,Jackson
2022-03-27,2022-04-02,7,Alaska,AK,Jackson
2022-04-03,2022-04-09,7,Alaska,AK,Nicholas
2022-04-10,2022-04-16,7,Alaska,AK,Julian
2022-04-17,2022-04-23,7,Alaska,AK,Jackson
2022-04-24,2022-04-30,7,Alaska,AK,Andrew
2022-05-01,2022-05-07,7,Alaska,AK,Eli
2022-05-08,2022-05-14,7,Alaska,AK,Nicholas
2022-05-15,2022-05-21,7,Alaska,AK,Julian
2022-05-22,2022-05-28,7,Alaska,AK,Adam
2022-05-29,2022-06-04,7,Alaska,AK,Jackson
2022-06-05,2022-06-11,7,Alaska,AK,Andrew
2022-06-12,2022-06-18,7,Alaska,AK,Ryan
2022-06-19,2022-06-25,7,Alaska,AK,Jackson
2022-06-26,2022-07-02,7,Alaska,AK,Eli
2022-07-03,2022-07-09,7,Alaska,AK,Hudson
2022-07-10,2022-07-16,7,Alaska,AK,Nolan
2022-07-17,2022-07-23,7,Alaska,AK,Isaiah
2022-07-24,2022-07-30,7,Alaska,AK,Andrew
2022-07-31,2022-08-06,7,Alaska,AK,Eli
2022-08-07,2022-08-13,7,Alaska,AK,Theodore
2022-08-14,2022-08-20,7,Alaska,AK,Derrick
2022-08-21,2022-08-27,7,Alaska,AK,Jayden
